RID	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	PARAMETER_ID	LANGUAGE	CONCEPT_IN_SOURCE	VALUE	PAGE	NOTE
78	78_green	GREEN	1425	78_green	Eastern Puroik	green (adj.)	arie	p. 110	
79	79_thehail	HAIL	609	79_thehail	Eastern Puroik	hailston (n.)	aŋvik	p. 110	
80	80_thehairofthehead	HAIR	1040	80_thehairofthehead	Eastern Puroik	hair (n)	kazak	p. 121	
81	81_thehand	HAND	1277	81_thehand	Eastern Puroik	arm, hand (n.)	gait	p. 116	
82	82_hard	HARD	1884	82_hard	Eastern Puroik	hardl difficult (adj.)	afi aram	p.108	
83	83_heorshethirdpersonsingular	HE OR SHE OR IT	262	83_heorshethirdpersonsingular	Eastern Puroik	he (3s)	ae	p.108	
84	84_thehead	HEAD	1256	84_thehead	Eastern Puroik	head (n.)	akɔk	p.108	
85	85_tohear	HEAR	1408	85_tohear	Eastern Puroik	to hear (v.)	rɔŋna	p. 131	
86	86_theheart	HEART	1223	86_theheart	Eastern Puroik	heart (n.)	aluk	p. 109	
87	87_heavy	HEAVY	1210	87_heavy	Eastern Puroik				?
88	88_here	HERE	136	88_here	Eastern Puroik	at, here (LOC)	hana	p. 117	
89	89_tohideconceal	HIDE (CONCEAL)	602	89_tohideconceal	Eastern Puroik				?
90	90_hightall	HIGH	1265	90_hightall	Eastern Puroik	high (adj.)	agja	p. 108	
91	91_tohold	HOLD	1448	91_tohold	Eastern Puroik	hold	naŋkeŋ	p. 61	
92	92_thehoof	HOOF	152	92_thehoof	Eastern Puroik	hoof (n.)	laipɔ	p. 123	
93	93_horizontal	HORIZONTAL	2376	93_horizontal	Eastern Puroik	level, same	kafe rai	p. 120	
94	94_thehornkeratinizedskin	HORN (ANATOMY)	1393	94_thehornkeratinizedskin	Eastern Puroik				?
95	95_thehorse	HORSE	615	95_thehorse	Eastern Puroik				?
96	96_hot	HOT	1286	96_hot	Eastern Puroik	warm, hot	adʒit	p. 108	
97	97_thehouse	HOUSE	1252	97_thehouse	Eastern Puroik				?
98	98_hundred	HUNDRED	1634	98_hundred	Eastern Puroik	hundredth (num)	laŋ	p. 123	
99	99_tohunt	HUNT	1435	99_tohunt	Eastern Puroik	hunting	mapia	p. 123	
100	100_thehusband	HUSBAND	1200	100_thehusband	Eastern Puroik	husband (n.)	awei	p. 111	
101	101_ifirstpersonsingular	I	1209	101_ifirstpersonsingular	Eastern Puroik	I (pro.)	gɔ	p. 116	
102	102_theice	ICE	617	102_theice	Eastern Puroik				?
103	103_inside	INSIDE	1606	103_inside	Eastern Puroik	inside (LOC)	riaŋ	p.130	
104	104_tokill	KILL	1417	104_tokill	Eastern Puroik	kill (v.)	aik	p.108	
105	105_toknead	KNEAD	274	105_toknead	Eastern Puroik				?
106	106_theknee	KNEE	1371	106_theknee	Eastern Puroik	knee (n.)	kapei	p. 121	
107	107_knife	KNIFE	1352	107_knife	Eastern Puroik	knife, dao, sword (n.)	tʃe	p. 114	
108	108_toknowsomething	KNOW (SOMETHING)	1410	108_toknowsomething	Eastern Puroik	find, know (v.)	dait	p. 115	
109	109_thelake	LAKE	624	109_thelake	Eastern Puroik	lake (n.)	amain	p. 109	
110	110_late	LATE	477	110_late	Eastern Puroik	later, late (adv)	akug	p. 109	
111	111_tolaugh	LAUGH	1355	111_tolaugh	Eastern Puroik	laugh (v.)	rue	p. 131	
112	112_theleaf	LEAF	628	112_theleaf	Eastern Puroik	leaf (n.)	tʃuailak	p. 114	
113	113_tolearn	LEARN	504	113_tolearn	Eastern Puroik				?
114	114_left	LEFT	244	114_left	Eastern Puroik	left (adj)	puafe	p. 129	
115	115_tolick	LICK	319	115_tolick	Eastern Puroik	to lick (v.)	viana	p. 134	
116	116_toliedown	LIE DOWN	215	116_toliedown	Eastern Puroik				?
117	117_lightofweight	LIGHT (WEIGHT)	1052	117_lightofweight	Eastern Puroik	light (adj.)	akiaŋ	p. 108	
118	118_thelipthelips	LIP	478	118_thelipthelips	Eastern Puroik	lip, lower lip	katʃe	p. 119	
119	119_theliver	LIVER	1224	119_theliver	Eastern Puroik	liver (n.)	apiet	p. 110	
120	120_long	LONG	1203	120_long	Eastern Puroik	long (adj.)	apek	p. 110	
121	121_thelouse	LOUSE	1392	121_thelouse	Eastern Puroik	louse (n.)	pare	p. 128	
122	122_thelung	LUNG	688	122_thelung	Eastern Puroik				?
123	123_themanmalehuman	MALE PERSON	2106	123_themanmalehuman	Eastern Puroik	man (n.)	bi pak	p. 113	
124	124_many	MANY	1198	124_many	Eastern Puroik	many (adj.)	hiha	p. 117	
125	125_tomarryamanmarriesawoman	MARRY (AS MAN)	2164	125_tomarryamanmarriesawoman	Eastern Puroik	marry (v.)	rai	p. 130	
126	126_themeat	MEAT	634	126_themeat	Eastern Puroik	meat (n.)	mariak	p. 125	
127	127_middle	MIDDLE	1093	127_middle	Eastern Puroik	middle, half (adj)	alɔ	p. 109	
128	128_themoon	MOON	1313	128_themoon	Eastern Puroik	moon (n.)	aŋprɔ	p.109	
129	129_morning	MORNING	1339	129_morning	Eastern Puroik	morning (n.)	apre	p. 110	
130	130_themosquito	MOSQUITO	1509	130_themosquito	Eastern Puroik	mosquito (n.)	tʃuŋkrieˀ	p.115	
131	131_themother	MOTHER	1216	131_themother	Eastern Puroik	mother (n.)	amua	p. 109	
132	132_themountain	MOUNTAIN	639	132_themountain	Eastern Puroik	mountain (n.)	alau	p. 109	
133	133_themouseorrat	MUROID (MOUSE OR RAT)	2139	133_themouseorrat	Eastern Puroik	rat (n.)	sabue	p. 131	
134	134_themouth	MOUTH	674	134_themouth	Eastern Puroik	mouth (n.)	sak	p.131	
135	135_themud	MUD	640	135_themud	Eastern Puroik	mud (n.)	sarioŋ	p. 132	
136	136_thenailfingernailorclaw	CLAW OR NAIL	2128	136_thenailfingernailorclaw	Eastern Puroik	nail (n.)	gasait	p. 116	
137	137_thename	NAME	1405	137_thename	Eastern Puroik	name (n.)	abren	p. 107	
138	138_narrow	NARROW	1267	138_narrow	Eastern Puroik				?
139	139_near	NEAR	1942	139_near	Eastern Puroik	near (adv.)	anui	p. 110	
140	140_theneck	NECK	1333	140_theneck	Eastern Puroik	neck (n.)	katuːŋ	p. 121	
141	141_theneedleforsewing	NEEDLE (FOR SEWING)	1382	141_theneedleforsewing	Eastern Puroik				?
142	142_new	NEW	1231	142_new	Eastern Puroik				?
143	143_nine	NINE	1483	143_nine	Eastern Puroik	nine (num.)	dɔŋge	p. 115	
144	144_thenit	NIT	267	144_thenit	Eastern Puroik	nit, lice (n.)	pɯmji	p. 128	
145	145_noon	MIDDAY	12	145_noon	Eastern Puroik				?
146	146_thenose	NOSE	1221	146_thenose	Eastern Puroik	nose (n.)	apɔːk	p. 110	
147	147_oldofperson	OLD (AGED)	2112	147_oldofperson	Eastern Puroik	old (adj)	amaiŋ	p. 109	
148	148_one	ONE	1493	148_one	Eastern Puroik	one (num.)	hũji	p. 118	
149	149_theotter	OTTER	15	149_theotter	Eastern Puroik				?
150	150_outside	OUTSIDE	762	150_outside	Eastern Puroik	outside (LOC)	ɬaŋ	p. 124	
151	151_thepig	PIG	1337	151_thepig	Eastern Puroik	pig (n.)	madau	p. 125	
152	152_toplantvegetalsrice	PLANT (SOMETHING)	1486	152_toplantvegetalsrice	Eastern Puroik				?
153	153_toplay	PLAY	1413	153_toplay	Eastern Puroik	play (v.)	laina	p. 123	
154	154_topull	PULL	1455	154_topull	Eastern Puroik				?
155	155_topush	PUSH	1452	155_topush	Eastern Puroik	to push with body (v.)	tʃe	p. 114	
156	156_therain	RAIN (PRECIPITATION)	658	156_therain	Eastern Puroik	rain (n.)	aŋphrɔ	p. 109	
157	157_therainbow	RAINBOW	1733	157_therainbow	Eastern Puroik	rainbow (n.)	kalaiŋ	p. 120	
158	158_red	RED	156	158_red	Eastern Puroik	red (adj.)	ariuk	p. 108	
159	159_toresidelive	DWELL (LIVE, RESIDE)	363	159_toresidelive	Eastern Puroik	live (v.)	dʒa	p. 118	
160	160_thericeplant	RICE PLANT	2026	160_thericeplant	Eastern Puroik	rice, food, paddy	amaŋ	p. 110	
161	161_right	RIGHT	1019	161_right	Eastern Puroik	right (adj.)	puazue	p. 129	
162	162_theriver	RIVER	666	162_theriver	Eastern Puroik	river (n.)	kuapək	p. 122	
163	163_theroad	ROAD	667	163_theroad	Eastern Puroik	road, way (n.)	puzuej	p. 129	
164	164_theroot	ROOT	670	164_theroot	Eastern Puroik	root (n.)	araiŋ	p. 110	
165	165_therope	ROPE	1218	165_therope	Eastern Puroik	rope (n.)	rai	p. 130	
166	166_round	ROUND	1395	166_round	Eastern Puroik	round (adj.)	abɯ	p. 107	
167	167_torun	RUN	1519	167_torun	Eastern Puroik	to run	fe	p. 116	
168	168_thesalt	SALT	1274	168_thesalt	Eastern Puroik	salt (n.)	hɔ̃ŋ	p. 118	
169	169_salty	SALTY	1091	169_salty	Eastern Puroik				?
170	170_thesand	SAND	671	170_thesand	Eastern Puroik	sand (n.)	prietʃheil	p.129	
171	171_toscratch	SCRATCH	1436	171_toscratch	Eastern Puroik	to scratch (v.)	briona	p. 113	
172	172_thesea	SEA	1474	172_thesea	Eastern Puroik	sea (n.)	kua kla	p. 122	
173	173_tosee	SEE	1409	173_tosee	Eastern Puroik	see, look (v.)	dʒai	p. 118	
174	174_theseed	SEED	714	174_theseed	Eastern Puroik	seed (n.)	awe	p. 111	
175	175_seven	SEVEN	1704	175_seven	Eastern Puroik	seven (n.)	lje	p. 124	
176	176_sharp	SHARP	1396	176_sharp	Eastern Puroik	sharp-edged	atua	p. 111	
177	177_thesheep	SHEEP	1331	177_thesheep	Eastern Puroik	sheep (n.)	madʒuaŋ	p. 125	
178	178_toshootanarrow	SHOOT	1172	178_toshootanarrow	Eastern Puroik	shoot (vt.)	rena	p. 130	
179	179_short	SHORT	1645	179_short	Eastern Puroik				?
180	180_theshoulder	SHOULDER	1482	180_theshoulder	Eastern Puroik	shoulder	puatuk	p. 129	
181	181_shy	SHY	487	181_shy	Eastern Puroik				?
182	182_thesickle	SICKLE	341	182_thesickle	Eastern Puroik				?
183	183_tosing	SING	1261	183_tosing	Eastern Puroik	to sing (v.)	luitnieŋ	p. 124	
184	184_six	SIX	1703	184_six	Eastern Puroik	six (num.)	raɯˀ	p. 130	
185	185_theskin	SKIN	763	185_theskin	Eastern Puroik				?
186	186_thesky	SKY	1732	186_thesky	Eastern Puroik	sky, heaven (n.)	kaməŋ	p. 120	
187	187_tosleep	SLEEP	1585	187_tosleep	Eastern Puroik	sleep (v.)	raːm	p. 129	
188	188_small	SMALL	1246	188_small	Eastern Puroik	small (adj.)	kadʒiŋ	p. 120	
189	189_tosmellperceiveodortransitive	SMELL (PERCEIVE)	1586	189_tosmellperceiveodortransitive	Eastern Puroik	smell (v.)	naŋna	p.125	
190	190_thesmoke	SMOKE (EXHAUST)	778	190_thesmoke	Eastern Puroik	smoke (n.)	bae kɯˀ	p. 112	
191	191_smooth	SMOOTH	1234	191_smooth	Eastern Puroik				?
192	192_thesnake	SNAKE	730	192_thesnake	Eastern Puroik	snake (n.)	idʒei	p. 118	
193	193_thesnow	SNOW	784	193_thesnow	Eastern Puroik	snow (n.)	kadʒɯ	p. 120	
194	194_soft	SOFT	1856	194_soft	Eastern Puroik	soft (adj.)	kesik	p. 121	
195	195_theson	SON	1620	195_theson	Eastern Puroik	son (n.)	adou fu	p. 115 / p.107	
196	196_thesparrow	SPARROW	1854	196_thesparrow	Eastern Puroik	sparrow	patʃappariap	p. 92	
197	197_thespider	SPIDER	843	197_thespider	Eastern Puroik	spider (n.)	uːŋkasuak	p. 134	
198	198_tospit	SPIT	1440	198_tospit	Eastern Puroik				?
199	199_tostand	STAND	1442	199_tostand	Eastern Puroik	stand (vt.)	tʃiŋ	p. 114	
200	200_thestar	STAR	1430	200_thestar	Eastern Puroik	star (n.)	hagait	p. 117	
201	201_tosteal	STEAL	713	201_tosteal	Eastern Puroik	steal (v.)	maŋa	p. 125	
202	202_thestick	STICK	1295	202_thestick	Eastern Puroik	stick (n.)	hamriaŋ	p. 117	
203	203_thestoneapieceof	STONE	857	203_thestoneapieceof	Eastern Puroik	stone, rock (n.)	kabria	p. 119	
204	204_straight	STRAIGHT	1404	204_straight	Eastern Puroik				?
205	205_thesun	SUN	1343	205_thesun	Eastern Puroik	sun (n.)	hami	p. 117	
206	206_thetail	TAIL	1220	206_thetail	Eastern Puroik	tail (n.)	anime	p. 110	
207	207_ten	TEN	1515	207_ten	Eastern Puroik	ten (num.)	swe	p. 133	
208	208_that	THAT	78	208_that	Eastern Puroik	that (DET.)	tae	p. 133	
209	209_there	THERE	1937	209_there	Eastern Puroik	there, down there	bɔː	p. 113	
210	210_thick	THICK	1244	210_thick	Eastern Puroik	thick, fat (adj.)	amam	p. 109	
211	211_thethigh	UPPER LEG (THIGH)	471	211_thethigh	Eastern Puroik	thigh (n.)	tʃai kɔŋ	p. 114	
212	212_thinobject	THIN (OF SHAPE OF OBJECT)	2249	212_thinobject	Eastern Puroik	thin. (adj.)	asarai	p. 111	
213	213_tothinkreflect	THINK (REFLECT)	1415	213_tothinkreflect	Eastern Puroik	think (v)	miːdʒa	p. 126	
214	214_this	THIS	1214	214_this	Eastern Puroik	this (DET)	həŋdʒe	p. 117	
215	215_thousecondpersonsingular	THOU	1215	215_thousecondpersonsingular	Eastern Puroik	you (2s)	na	p. 126	
216	216_three	THREE	492	216_three	Eastern Puroik	three (num.)	ɯeg [ɯək]	p. 118	
217	217_tothrow	THROW	1456	217_tothrow	Eastern Puroik	to throw (v.)	tuitna	p. 134	
218	218_thethunder	THUNDER	1150	218_thethunder	Eastern Puroik	thunder (n.)	raŋmaŋ	p. 130	
219	219_thetiger	TIGER	846	219_thetiger	Eastern Puroik	tiger (n.)	madʒue	p. 125	
220	220_today	TODAY	1283	220_today	Eastern Puroik	today (n.)	riuri	p. 131	
221	221_tomorrow	TOMORROW	1329	221_tomorrow	Eastern Puroik	tomorrow (adv.)	pjapɹe	p. 128	
222	222_thetongue	TONGUE	1205	222_thetongue	Eastern Puroik	tongue (n.)	arue	p. 110	
223	223_thetoothfront	TOOTH	1380	223_thetoothfront	Eastern Puroik	teeth, fangs	katuaŋ	p. 121	
224	224_thetree	TREE	906	224_thetree	Eastern Puroik	tree (n.)	hɔmua	p. 118	
225	225_twenty	TWENTY	1710	225_twenty	Eastern Puroik	twenty (num.)	suanji	p. 132	
226	226_two	TWO	1498	226_two	Eastern Puroik	two	nji	p. 127	
227	227_tovomit	VOMIT	1278	227_tovomit	Eastern Puroik				
228	228_towalk	WALK	1443	228_towalk	Eastern Puroik	to walk (v.)	kɔwe	p. 122	
229	229_thewater	WATER	948	229_thewater	Eastern Puroik	water (n.)	kua	p. 122	
230	230_wefirstpersonpluralinclusive	WE (INCLUSIVE)	1131	230_wefirstpersonpluralinclusive	Eastern Puroik	1p we	gorai / gɔsei	p. 116	
231	231_wet	WET	1726	231_wet	Eastern Puroik	wet (adj.)	hjãp	p. 118	
232	232_what	WHAT	1236	232_what	Eastern Puroik	what (WH)	hibɔ	p. 117	
233	233_thewheat	WHEAT	1077	233_thewheat	Eastern Puroik				?
234	234_where	WHERE	1237	234_where	Eastern Puroik	where (WH)	kai	p. 120	
235	235_white	WHITE	1335	235_white	Eastern Puroik	white (adj.)	ariɔŋ	p. 110	
236	236_who	WHO	1235	236_who	Eastern Puroik	who (WH)	haː	p.117	
237	237_thewife	WIFE	1199	237_thewife	Eastern Puroik	wife (n.)	awe	p. 111	
238	238_thewind	WIND	960	238_thewind	Eastern Puroik	wind (n)	aŋhuiˀ	p. 109	
239	239_thewing	WING	1257	239_thewing	Eastern Puroik	wing, fin of fish (n.)	aiuiˀ	p. 107	
240	240_towipe	WIPE	1454	240_towipe	Eastern Puroik				?
241	241_thewolf	WOLF	522	241_thewolf	Eastern Puroik	wolf (n.)	satʃuaŋ	p. 131	
242	242_thewoman	WOMAN	962	242_thewoman	Eastern Puroik	woman (n.)	dana	p. 115	
243	243_thewoodmaterial	WOOD	1803	243_thewoodmaterial	Eastern Puroik	wood (n.)	ɹein	p. 131	
244	244_tosowbroadcastscatterseeds	SOW SEEDS	748	244_tosowbroadcastscatterseeds	Eastern Puroik				?
245	245_theyear	YEAR	1226	245_theyear	Eastern Puroik	year, age	dɯ	p.115	
246	246_yellow	YELLOW	1424	246_yellow	Eastern Puroik	yellow (adj.)	asulua	p. 111	
247	247_yesterday	YESTERDAY	1174	247_yesterday	Eastern Puroik	yesterday	biari	p. 113	
248	248_yousecondpersonplural	YOU	1213	248_yousecondpersonplural	Eastern Puroik	you (2pl)	nase	p. 126	
249	249_young	YOUNG	1207	249_young	Eastern Puroik	in young woman (n.)	dʒuaŋ	p. 109	
250	250_theshit	SHIT (DEFECATE)	676	250_theshit	Eastern Puroik	faeces, stool (n.)	ɬeɔŋ	p. 124	
